OrganisationLabel,OrganisationalUnit,TransactionNumber,BeneficiaryName,ExpenseType,PaymentDate,Amount
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1550648,FENNELLY ART LIMITED,,27/03/2015,900.0
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1546007,FIERY LIGHT AQUA LIMITED,,11/03/2015,18112.01
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545295,FIRE SUPPORT NETWORK,,06/03/2015,9918.48
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1546459,FIRST CLASS NURSERY,,12/03/2015,560.65
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1549596,FLEET 21 LIMITED,,25/03/2015,2765.0
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1545540,FLUID BRANDING LIMITED,,09/03/2015,1554.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545030,FORD HEATING LIMITED,,05/03/2015,4726.31
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545298,FORD HEATING LIMITED,,06/03/2015,1221.49
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545299,FORDIES MINI COACHES,,06/03/2015,2330.9
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547178,FORDIES MINI COACHES,,13/03/2015,2609.9
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1548476,FORDIES MINI COACHES,,20/03/2015,2609.9
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1550650,FORDIES MINI COACHES,,27/03/2015,2609.9
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,1549215,FORENSICS LIMITED,,24/03/2015,612.0
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,1549215,FORENSICS LIMITED,,24/03/2015,612.0
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,1549215,FORENSICS LIMITED,,24/03/2015,522.0
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,1550053,FORENSICS LIMITED,,26/03/2015,612.0
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,1550651,FORENSICS LIMITED,,27/03/2015,564.0
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,1550941,FORENSICS LIMITED,,30/03/2015,612.0
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,1550941,FORENSICS LIMITED,,30/03/2015,594.0
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1550652,FORGE LEISURE LIMITED,,27/03/2015,542.4
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1548931,FOSTER CARE ASSOCIATES LIMITED,,23/03/2015,891.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1548931,FOSTER CARE ASSOCIATES LIMITED,,23/03/2015,1029.78
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1548931,FOSTER CARE ASSOCIATES LIMITED,,23/03/2015,686.52
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547619,FOSTER CARE ASSOCIATES LIMITED,,17/03/2015,4380.3
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547619,FOSTER CARE ASSOCIATES LIMITED,,17/03/2015,4380.3
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547619,FOSTER CARE ASSOCIATES LIMITED,,17/03/2015,5980.33
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547619,FOSTER CARE ASSOCIATES LIMITED,,17/03/2015,4380.3
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547619,FOSTER CARE ASSOCIATES LIMITED,,17/03/2015,3412.94
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547619,FOSTER CARE ASSOCIATES LIMITED,,17/03/2015,3518.5
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1548931,FOSTER CARE ASSOCIATES LIMITED,,23/03/2015,3069.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1548931,FOSTER CARE ASSOCIATES LIMITED,,23/03/2015,3547.02
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1548931,FOSTER CARE ASSOCIATES LIMITED,,23/03/2015,3547.02
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547619,FOSTER CARE ASSOCIATES LIMITED,,17/03/2015,-2178.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547619,FOSTER CARE ASSOCIATES LIMITED,,17/03/2015,-2517.24
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547619,FOSTER CARE ASSOCIATES LIMITED,,17/03/2015,-2517.24
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545300,FOSTER CARE CO-OPERATIVE LTD,,06/03/2015,3475.92
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1551247,FOSTER CARE CO-OPERATIVE LTD,,31/03/2015,3848.34
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1544178,FOSTER CARELINE LIMITED,,02/03/2015,4398.51
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1550943,FOSTER CARELINE LIMITED,,30/03/2015,3944.25
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1544179,FOSTER CARES LIMITED,,02/03/2015,799.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1546010,FOSTER CARES LIMITED,,11/03/2015,799.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547875,FOSTER CARES LIMITED,,18/03/2015,799.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1549599,FOSTER CARES LIMITED,,25/03/2015,799.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1550944,FOSTER CARES LIMITED,,30/03/2015,799.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547620,FOSTERING PEOPLE LIMITED,,17/03/2015,3441.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547620,FOSTERING PEOPLE LIMITED,,17/03/2015,3268.95
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547621,FOSTERING SOLUTIONS LTD,,17/03/2015,3344.64
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547621,FOSTERING SOLUTIONS LTD,,17/03/2015,3476.34
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1544740,FOZ CONTRACT SERVICES LIMITED,,04/03/2015,77712.8
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547395,FOZ CONTRACT SERVICES LIMITED,,16/03/2015,10650.47
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1549216,FOZ CONTRACT SERVICES LIMITED,,24/03/2015,4763.21
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1550055,FOZ CONTRACT SERVICES LIMITED,,26/03/2015,45098.08
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1551249,FREEDOM OF SPEECH LIMITED,,31/03/2015,1488.0
Wirral Metropolitan Borough Council,EDUCATION - SCHOOLS,1550946,FRETWELL-DOWNING HOSPITALITY LIMITED,,30/03/2015,3600.0
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,1548478,FRIENDS OF BIRKENHEAD COUNCIL KENNELS,,20/03/2015,7888.89
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1545543,FURNITURE RESOURCE CENTRE LIMITED,,09/03/2015,591.18
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1546012,FURNITURE RESOURCE CENTRE LIMITED,,11/03/2015,510.68
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1544181,FURNITURE RESOURCE CENTRE LIMITED,,02/03/2015,765.28
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1547877,FURNITURE RESOURCE CENTRE LIMITED,,18/03/2015,765.28
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1544444,FURNITURE RESOURCE CENTRE LIMITED,,03/03/2015,525.41
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1544444,FURNITURE RESOURCE CENTRE LIMITED,,03/03/2015,589.26
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1544444,FURNITURE RESOURCE CENTRE LIMITED,,03/03/2015,596.61
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1547181,FURNITURE RESOURCE CENTRE LIMITED,,13/03/2015,505.77
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1550948,FURNITURE RESOURCE CENTRE LIMITED,,30/03/2015,591.18
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1551251,FURNITURE RESOURCE CENTRE LIMITED,,31/03/2015,562.25
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545304,G M TRAVEL,,06/03/2015,650.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547182,G M TRAVEL,,13/03/2015,650.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1548479,G M TRAVEL,,20/03/2015,650.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1550654,G M TRAVEL,,27/03/2015,650.0
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",214431,G REDPATH PLUMBING & HEATING SPECIALIST,,17/03/2015,2080.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1546471,GAP GROUP LTD,,12/03/2015,2064.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1546471,GAP GROUP LTD,,12/03/2015,2952.0
Wirral Metropolitan Borough Council,ADULT SOCIAL SERVICES,1549220,GAPPS DAY SERVICE LIMITED,,24/03/2015,2807.52
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1547879,GAS SAFETY SERVICES,,18/03/2015,2800.0
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,1547184,GEMCLIFF LTD T/A WEST CHESHIRE CLEANING SERVICES,,13/03/2015,1162.61
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1550655,GEMCLIFF LTD T/A WEST CHESHIRE CLEANING SERVICES,,27/03/2015,1212.1
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1547402,GEMCLIFF LTD T/A WEST CHESHIRE CLEANING SERVICES,,16/03/2015,1212.1
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,1547403,GEMINI BLINDS & CURTAINS,,16/03/2015,876.0
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1549604,GET SMART,,25/03/2015,657.6
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1544183,GIBSONS GARDEN MACHINERY LTD,,02/03/2015,11634.0
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1544447,GIGASOFT DATA PROTECTION LIMITED,,03/03/2015,510.0
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1547624,GLADSTONE MRM LIMITED,,17/03/2015,3780.0
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1550656,GO COMMUNICATIONS SYSTEMS LIMITED,,27/03/2015,543.6
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547625,GOOD FOUNDATIONS LTD,,17/03/2015,9624.86
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547625,GOOD FOUNDATIONS LTD,,17/03/2015,9477.13
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547625,GOOD FOUNDATIONS LTD,,17/03/2015,9477.13
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547625,GOOD FOUNDATIONS LTD,,17/03/2015,9477.13
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547625,GOOD FOUNDATIONS LTD,,17/03/2015,9771.43
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547625,GOOD FOUNDATIONS LTD,,17/03/2015,9477.13
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547625,GOOD FOUNDATIONS LTD,,17/03/2015,9771.43
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547625,GOOD FOUNDATIONS LTD,,17/03/2015,9771.43
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547625,GOOD FOUNDATIONS LTD,,17/03/2015,9477.13
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547625,GOOD FOUNDATIONS LTD,,17/03/2015,9477.13
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547625,GOOD FOUNDATIONS LTD,,17/03/2015,9477.13
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547625,GOOD FOUNDATIONS LTD,,17/03/2015,9768.47
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547625,GOOD FOUNDATIONS LTD,,17/03/2015,9768.47
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547625,GOOD FOUNDATIONS LTD,,17/03/2015,9477.13
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1549607,GOODYER PACKAGING,,25/03/2015,566.28
Wirral Metropolitan Borough Council,BALANCE SHEET,1548138,GREATER MERSEYSIDE CONNEXIONS PARTNERSHIP (ENTERPRISE) LTD,,19/03/2015,-12000.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1548936,GREATER MERSEYSIDE CONNEXIONS PARTNERSHIP (ENTERPRISE) LTD,,23/03/2015,11092.2
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1550954,GREENGAGE CONSULTING LIMITED,,30/03/2015,8538.6
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1550954,GREENGAGE CONSULTING LIMITED,,30/03/2015,2688.84
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1549227,GROUNDWORK AND LEISURE SERVICES LTD,,24/03/2015,5808.0
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,1550090,H JENKINSON & CO LTD,,26/03/2015,106864.56
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,1550659,H JENKINSON & CO LTD,,27/03/2015,1440.0
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1549235,H JENKINSON & CO LTD,,24/03/2015,5178.84
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1546500,HAGS-SMP LIMITED,,12/03/2015,11998.8
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1548500,HALLIDAY FUNERAL SUPPLIES LIMITED,,20/03/2015,590.4
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1548500,HALLIDAY FUNERAL SUPPLIES LIMITED,,20/03/2015,590.4
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1550091,HAND IN HAND THEATRE PRODUCTIONS,,26/03/2015,659.51
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1549613,HANDSHAKE ENTERTAINMENTS LIMITED,,25/03/2015,27134.84
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545313,HANDY CARS CONTRACTS,,06/03/2015,14085.1
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547191,HANDY CARS CONTRACTS,,13/03/2015,14360.4
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1548501,HANDY CARS CONTRACTS,,20/03/2015,14595.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1550661,HANDY CARS CONTRACTS,,27/03/2015,14636.16
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547629,HARBOUR SUPPORTED LIVING SERVICES LIMITEDHOUSING,,17/03/2015,12877.71
Wirral Metropolitan Borough Council,EDUCATION - SCHOOLS,1547887,HAYS SPECIALIST RECRUITMENT,,18/03/2015,501.89
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,1549617,HEART OF ENGLAND NHS FOUNDATION TRUST,,25/03/2015,648.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545760,HELPLINK COMMUNITY SUPPORT (TRANSPORT)LIMITED,,10/03/2015,1023.88
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1548143,HERTEL SOLUTIONS LIMITED,,19/03/2015,4839.95
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1546024,HERTEL SOLUTIONS LIMITED,,11/03/2015,2436.1
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,1547893,HERTEL SOLUTIONS LIMITED,,18/03/2015,530.21
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,1547893,HERTEL SOLUTIONS LIMITED,,18/03/2015,672.0
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,1547893,HERTEL SOLUTIONS LIMITED,,18/03/2015,3054.42
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,1548143,HERTEL SOLUTIONS LIMITED,,19/03/2015,530.04
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1545319,HEWLETT-PACKARD LIMITED,,06/03/2015,1237.94
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1547196,HEWLETT-PACKARD LIMITED,,13/03/2015,666.59
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1547633,HEWLETT-PACKARD LIMITED,,17/03/2015,3068.43
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1545319,HEWLETT-PACKARD LIMITED,,06/03/2015,4489.68
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1545321,HIGHER BEBINGTON GAS LIMITED,,06/03/2015,2533.33
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545323,HOME AND AWAY TRAVEL,,06/03/2015,600.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547198,HOME AND AWAY TRAVEL,,13/03/2015,600.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1548521,HOME AND AWAY TRAVEL,,20/03/2015,600.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1550673,HOME AND AWAY TRAVEL,,27/03/2015,600.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545324,HOMEQUEST YP LTD,,06/03/2015,1093.75
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545324,HOMEQUEST YP LTD,,06/03/2015,1392.05
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545324,HOMEQUEST YP LTD,,06/03/2015,1164.07
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545324,HOMEQUEST YP LTD,,06/03/2015,1392.05
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545324,HOMEQUEST YP LTD,,06/03/2015,1392.05
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545324,HOMEQUEST YP LTD,,06/03/2015,1620.02
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545324,HOMEQUEST YP LTD,,06/03/2015,1392.05
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545324,HOMEQUEST YP LTD,,06/03/2015,1164.07
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545324,HOMEQUEST YP LTD,,06/03/2015,1392.05
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545324,HOMEQUEST YP LTD,,06/03/2015,1392.05
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545324,HOMEQUEST YP LTD,,06/03/2015,694.3
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547635,HOMEQUEST YP LTD,,17/03/2015,1080.92
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547635,HOMEQUEST YP LTD,,17/03/2015,795.46
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547635,HOMEQUEST YP LTD,,17/03/2015,1392.05
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1549252,HOMEQUEST YP LTD,,24/03/2015,1789.78
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547634,HOME-START WIRRAL,,17/03/2015,2735.18
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547634,HOME-START WIRRAL,,17/03/2015,1672.73
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547634,HOME-START WIRRAL,,17/03/2015,10833.36
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545326,HORIZIEN (UK) LIMITED,,06/03/2015,685.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1551275,HORIZIEN (UK) LIMITED,,31/03/2015,685.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1551275,HORIZIEN (UK) LIMITED,,31/03/2015,685.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1551275,HORIZIEN (UK) LIMITED,,31/03/2015,685.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1551275,HORIZIEN (UK) LIMITED,,31/03/2015,685.0
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1551276,HORTICON LIMITED,,31/03/2015,30527.94
Wirral Metropolitan Borough Council,ADULT SOCIAL SERVICES,1549633,HULME HALL,,25/03/2015,1050.0
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1548948,HUNTER COMMUNICATION SERVICES LIMITED,,23/03/2015,954.0
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,1549258,I V HOSTING LIMITED,,24/03/2015,660.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545330,IAN PROCTER (IANS TAXI SERVICE),,06/03/2015,748.6
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547203,IAN PROCTER (IANS TAXI SERVICE),,13/03/2015,701.39
Wirral Metropolitan Borough Council,ADULT SOCIAL SERVICES,1547204,ICT REVOLUTIONS LIMITED,,13/03/2015,3840.0
Wirral Metropolitan Borough Council,ADULT SOCIAL SERVICES,1546030,ICT REVOLUTIONS LIMITED,,11/03/2015,4320.0
Wirral Metropolitan Borough Council,ADULT SOCIAL SERVICES,1546030,ICT REVOLUTIONS LIMITED,,11/03/2015,3120.0
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1546528,IDAPT LLP,,12/03/2015,898.8
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1549636,IDOX SOFTWARE LIMITED,,25/03/2015,570.0
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1546031,IFZW MAINTENANCE LIMITED,,11/03/2015,22500.0
Wirral Metropolitan Borough Council,ADULT SOCIAL SERVICES,1550966,INCLUSIVE LIFESTYLES LTD,,30/03/2015,6382.32
Wirral Metropolitan Borough Council,ADULT SOCIAL SERVICES,1550966,INCLUSIVE LIFESTYLES LTD,,30/03/2015,1688.76
Wirral Metropolitan Borough Council,ADULT SOCIAL SERVICES,1550966,INCLUSIVE LIFESTYLES LTD,,30/03/2015,1836.12
Wirral Metropolitan Borough Council,ADULT SOCIAL SERVICES,1550966,INCLUSIVE LIFESTYLES LTD,,30/03/2015,1836.12
Wirral Metropolitan Borough Council,ADULT SOCIAL SERVICES,1550966,INCLUSIVE LIFESTYLES LTD,,30/03/2015,1836.12
Wirral Metropolitan Borough Council,ADULT SOCIAL SERVICES,1550966,INCLUSIVE LIFESTYLES LTD,,30/03/2015,1836.12
Wirral Metropolitan Borough Council,ADULT SOCIAL SERVICES,1550966,INCLUSIVE LIFESTYLES LTD,,30/03/2015,1836.12
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1548528,INGLECRAY INSULATION CO LTD,,20/03/2015,639.6
Wirral Metropolitan Borough Council,EDUCATION - SCHOOLS,1545558,INITIAL WASHROOM SOLUTIONS,,09/03/2015,10243.41
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1544773,INSPIRE CHILDRENS SERVICE,,04/03/2015,5005.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1544773,INSPIRE CHILDRENS SERVICE,,04/03/2015,5005.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1544773,INSPIRE CHILDRENS SERVICE,,04/03/2015,5105.0
Wirral Metropolitan Borough Council,EDUCATION - SCHOOLS,1545560,INSPIRE TRAINING & EDUCATION,,09/03/2015,1595.0
Wirral Metropolitan Borough Council,EDUCATION - SCHOOLS,1547424,INSPIRE TRAINING & EDUCATION,,16/03/2015,1450.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1550968,INSTITUTE OF SWIMMING,,30/03/2015,550.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1544199,INTERSERVE FS (UK) LIMITED,,02/03/2015,2028.53
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1551282,INTERSERVE FS (UK) LIMITED,,31/03/2015,2535.66
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547656,INVOLVE NORTHWEST,,17/03/2015,5085.1
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1545333,INVOLVE NORTHWEST,,06/03/2015,24558.99
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",CHAPS,INVOLVE NORTHWEST ,,31/03/2015,70195.42
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1547207,IOMA CLOTHING CO LTD,,13/03/2015,1041.24
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1550973,J & J LEARMONTH,,30/03/2015,666.0
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1550119,J & J LEARMONTH,,26/03/2015,734.4
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1550119,J & J LEARMONTH,,26/03/2015,675.6
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1544203,J C PLUMBING & HEATING SERVICES,,02/03/2015,4339.0
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1548150,J C PLUMBING & HEATING SERVICES,,19/03/2015,3858.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1551284,J F W CONSTRUCTION LTD,,31/03/2015,2892.24
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1548953,J G DODD BATHROOMS,,23/03/2015,5732.0
Wirral Metropolitan Borough Council,ADULT SOCIAL SERVICES,1550121,J G DODD BATHROOMS,,26/03/2015,540.0
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1550124,J P LENNARD LTD,,26/03/2015,1767.44
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1550124,J P LENNARD LTD,,26/03/2015,2466.24
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1550124,J P LENNARD LTD,,26/03/2015,1181.95
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1544473,J P LENNARD LTD,,03/03/2015,670.88
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1545777,J P LENNARD LTD,,10/03/2015,1823.24
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1546551,JACK OXTON,,12/03/2015,504.34
